client_id,preferred_area,feedback
1,Area_14,Will use again
2,Area_2,Not satisfied
3,Area_1,Average experience
4,Area_16,Average experience
5,Area_17,Good service
6,Area_4,Will use again
7,Area_8,Excellent ride
8,Area_2,Will use again
9,Area_6,Average experience
10,Area_15,Excellent ride
11,Area_11,Not satisfied
12,Area_17,Good service
13,Area_16,Excellent ride
14,Area_18,Good service
15,Area_18,Good service
16,Area_19,Average experience
17,Area_9,Excellent ride
18,Area_9,Not satisfied
19,Area_2,Will use again
20,Area_12,Not satisfied
21,Area_14,Average experience
22,Area_4,Not satisfied
23,Area_8,Excellent ride
24,Area_16,Not satisfied
25,Area_19,Will use again
26,Area_1,Not satisfied
27,Area_11,Excellent ride
28,Area_15,Excellent ride
29,Area_12,Good service
30,Area_14,Excellent ride
31,Area_15,Will use again
32,Area_9,Excellent ride
33,Area_7,Excellent ride
34,Area_10,Average experience
35,Area_9,Will use again
36,Area_20,Good service
37,Area_15,Not satisfied
38,Area_8,Not satisfied
39,Area_20,Excellent ride
40,Area_4,Will use again
41,Area_8,Excellent ride
42,Area_5,Will use again
43,Area_6,Average experience
44,Area_10,Average experience
45,Area_13,Not satisfied
46,Area_15,Good service
47,Area_6,Not satisfied
48,Area_14,Average experience
49,Area_3,Not satisfied
50,Area_20,Good service
51,Area_14,Excellent ride
52,Area_7,Excellent ride
53,Area_14,Will use again
54,Area_20,Excellent ride
55,Area_19,Good service
56,Area_17,Good service
57,Area_10,Will use again
58,Area_20,Not satisfied
59,Area_1,Will use again
60,Area_5,Excellent ride
61,Area_18,Average experience
62,Area_18,Excellent ride
63,Area_8,Average experience
64,Area_20,Good service
65,Area_2,Average experience
66,Area_14,Excellent ride
67,Area_14,Not satisfied
68,Area_18,Good service
69,Area_10,Will use again
70,Area_15,Average experience
71,Area_6,Will use again
72,Area_14,Will use again
73,Area_3,Average experience
74,Area_20,Will use again
75,Area_13,Good service
76,Area_19,Good service
77,Area_5,Not satisfied
78,Area_13,Not satisfied
79,Area_10,Will use again
80,Area_8,Excellent ride
81,Area_7,Not satisfied
82,Area_10,Average experience
83,Area_15,Excellent ride
84,Area_11,Will use again
85,Area_15,Average experience
86,Area_10,Good service
87,Area_12,Excellent ride
88,Area_12,Will use again
89,Area_9,Excellent ride
90,Area_6,Will use again
91,Area_4,Not satisfied
92,Area_11,Will use again
93,Area_13,Average experience
94,Area_13,Will use again
95,Area_19,Will use again
96,Area_2,Average experience
97,Area_8,Good service
98,Area_4,Will use again
99,Area_19,Will use again
100,Area_18,Not satisfied
101,Area_17,Excellent ride
102,Area_14,Average experience
103,Area_16,Excellent ride
104,Area_13,Good service
105,Area_16,Average experience
106,Area_3,Excellent ride
107,Area_6,Good service
108,Area_8,Excellent ride
109,Area_20,Will use again
110,Area_15,Will use again
111,Area_19,Excellent ride
112,Area_12,Average experience
113,Area_19,Good service
114,Area_17,Not satisfied
115,Area_17,Will use again
116,Area_15,Not satisfied
117,Area_20,Average experience
118,Area_13,Not satisfied
119,Area_7,Average experience
120,Area_3,Average experience
121,Area_11,Will use again
122,Area_20,Will use again
123,Area_6,Excellent ride
124,Area_17,Will use again
125,Area_5,Will use again
126,Area_19,Not satisfied
127,Area_19,Not satisfied
128,Area_10,Will use again
129,Area_16,Average experience
130,Area_14,Will use again
131,Area_8,Excellent ride
132,Area_4,Will use again
133,Area_6,Average experience
134,Area_5,Average experience
135,Area_16,Average experience
136,Area_16,Not satisfied
137,Area_18,Will use again
138,Area_16,Will use again
139,Area_3,Good service
140,Area_6,Good service
141,Area_16,Not satisfied
142,Area_9,Not satisfied
143,Area_11,Excellent ride
144,Area_5,Excellent ride
145,Area_15,Not satisfied
146,Area_12,Average experience
147,Area_5,Good service
148,Area_20,Not satisfied
149,Area_2,Excellent ride
150,Area_10,Will use again
151,Area_15,Average experience
152,Area_4,Not satisfied
153,Area_7,Good service
154,Area_1,Not satisfied
155,Area_15,Good service
156,Area_4,Average experience
157,Area_11,Excellent ride
158,Area_13,Will use again
159,Area_5,Average experience
160,Area_18,Will use again
161,Area_12,Not satisfied
162,Area_8,Excellent ride
163,Area_16,Excellent ride
164,Area_5,Not satisfied
165,Area_1,Average experience
166,Area_3,Excellent ride
167,Area_9,Will use again
168,Area_13,Excellent ride
169,Area_6,Not satisfied
170,Area_2,Excellent ride
171,Area_4,Average experience
172,Area_12,Good service
173,Area_9,Good service
174,Area_13,Will use again
175,Area_15,Not satisfied
176,Area_15,Excellent ride
177,Area_1,Good service
178,Area_9,Good service
179,Area_19,Average experience
180,Area_8,Excellent ride
181,Area_18,Will use again
182,Area_1,Not satisfied
183,Area_5,Not satisfied
184,Area_13,Will use again
185,Area_13,Average experience
186,Area_11,Good service
187,Area_19,Average experience
188,Area_14,Average experience
189,Area_16,Good service
190,Area_6,Excellent ride
191,Area_12,Will use again
192,Area_19,Good service
193,Area_18,Average experience
194,Area_7,Good service
195,Area_16,Not satisfied
196,Area_15,Average experience
197,Area_12,Not satisfied
198,Area_16,Excellent ride
199,Area_20,Not satisfied
200,Area_6,Average experience
201,Area_4,Will use again
202,Area_18,Will use again
203,Area_4,Not satisfied
204,Area_12,Excellent ride
205,Area_8,Good service
206,Area_12,Will use again
207,Area_16,Average experience
208,Area_3,Will use again
209,Area_8,Not satisfied
210,Area_17,Excellent ride
211,Area_11,Good service
212,Area_19,Good service
213,Area_20,Good service
214,Area_15,Average experience
215,Area_19,Good service
216,Area_1,Not satisfied
217,Area_6,Excellent ride
218,Area_17,Average experience
219,Area_20,Average experience
220,Area_15,Not satisfied
221,Area_11,Average experience
222,Area_13,Not satisfied
223,Area_8,Good service
224,Area_10,Good service
225,Area_9,Good service
226,Area_1,Not satisfied
227,Area_4,Average experience
228,Area_6,Average experience
229,Area_19,Average experience
230,Area_5,Good service
231,Area_6,Excellent ride
232,Area_8,Excellent ride
233,Area_15,Good service
234,Area_15,Will use again
235,Area_16,Good service
236,Area_9,Good service
237,Area_9,Excellent ride
238,Area_16,Average experience
239,Area_19,Will use again
240,Area_19,Average experience
241,Area_14,Will use again
242,Area_3,Average experience
243,Area_3,Excellent ride
244,Area_4,Will use again
245,Area_14,Good service
246,Area_17,Will use again
247,Area_8,Not satisfied
248,Area_5,Average experience
249,Area_6,Average experience
250,Area_3,Excellent ride
251,Area_19,Good service
252,Area_11,Good service
253,Area_2,Will use again
254,Area_13,Good service
255,Area_12,Not satisfied
256,Area_9,Will use again
257,Area_4,Average experience
258,Area_17,Good service
259,Area_9,Not satisfied
260,Area_2,Excellent ride
261,Area_6,Will use again
262,Area_10,Good service
263,Area_2,Not satisfied
264,Area_1,Not satisfied
265,Area_10,Average experience
266,Area_4,Not satisfied
267,Area_8,Good service
268,Area_12,Will use again
269,Area_14,Excellent ride
270,Area_13,Excellent ride
271,Area_19,Not satisfied
272,Area_4,Good service
273,Area_19,Excellent ride
274,Area_9,Average experience
275,Area_5,Average experience
276,Area_19,Will use again
277,Area_13,Excellent ride
278,Area_8,Not satisfied
279,Area_13,Good service
280,Area_12,Not satisfied
281,Area_18,Will use again
282,Area_2,Good service
283,Area_17,Not satisfied
284,Area_7,Will use again
285,Area_6,Will use again
286,Area_3,Not satisfied
287,Area_15,Good service
288,Area_6,Good service
289,Area_4,Average experience
290,Area_19,Good service
291,Area_11,Average experience
292,Area_14,Not satisfied
293,Area_14,Average experience
294,Area_17,Good service
295,Area_5,Will use again
296,Area_3,Excellent ride
297,Area_13,Not satisfied
298,Area_7,Will use again
299,Area_13,Will use again
300,Area_11,Excellent ride
301,Area_2,Excellent ride
302,Area_7,Not satisfied
303,Area_17,Will use again
304,Area_13,Not satisfied
305,Area_13,Good service
306,Area_6,Average experience
307,Area_1,Average experience
308,Area_2,Average experience
309,Area_15,Will use again
310,Area_14,Not satisfied
311,Area_10,Will use again
312,Area_20,Will use again
313,Area_7,Not satisfied
314,Area_6,Excellent ride
315,Area_11,Will use again
316,Area_6,Excellent ride
317,Area_5,Good service
318,Area_15,Will use again
319,Area_2,Not satisfied
320,Area_11,Excellent ride
321,Area_1,Excellent ride
322,Area_8,Excellent ride
323,Area_7,Will use again
324,Area_17,Will use again
325,Area_14,Not satisfied
326,Area_6,Excellent ride
327,Area_11,Not satisfied
328,Area_14,Average experience
329,Area_12,Will use again
330,Area_13,Not satisfied
331,Area_17,Not satisfied
332,Area_4,Average experience
333,Area_3,Average experience
334,Area_4,Not satisfied
335,Area_20,Will use again
336,Area_19,Good service
337,Area_4,Will use again
338,Area_7,Excellent ride
339,Area_17,Excellent ride
340,Area_16,Will use again
341,Area_11,Will use again
342,Area_7,Excellent ride
343,Area_10,Good service
344,Area_10,Not satisfied
345,Area_10,Will use again
346,Area_8,Will use again
347,Area_6,Not satisfied
348,Area_19,Good service
349,Area_18,Not satisfied
350,Area_17,Good service
351,Area_12,Will use again
352,Area_20,Good service
353,Area_11,Excellent ride
354,Area_4,Will use again
355,Area_8,Good service
356,Area_19,Will use again
357,Area_1,Good service
358,Area_6,Excellent ride
359,Area_2,Average experience
360,Area_2,Will use again
361,Area_16,Average experience
362,Area_10,Average experience
363,Area_12,Excellent ride
364,Area_7,Not satisfied
365,Area_8,Will use again
366,Area_3,Average experience
367,Area_17,Will use again
368,Area_20,Not satisfied
