ride_id,client_id,driver_id,trip_duration,traffic_issues
1,55,242,55,False
2,416,45,36,True
3,7,132,58,False
4,699,147,41,True
5,235,46,5,True
6,346,7,59,False
7,88,317,54,True
8,538,45,53,False
9,896,51,46,True
10,319,333,18,False
11,327,276,55,False
12,861,209,22,True
13,906,19,54,False
14,573,364,13,False
15,778,396,45,True
16,710,177,18,False
17,595,141,29,False
18,411,217,6,True
19,661,212,53,False
20,464,389,55,True
21,507,138,34,False
22,36,373,55,True
23,455,29,22,True
24,311,229,5,False
25,501,7,29,False
26,352,163,6,True
27,620,123,30,False
28,173,236,27,False
29,281,345,16,False
30,1000,200,45,True
31,685,310,26,True
32,878,278,5,False
33,64,49,27,True
34,99,380,17,True
35,338,182,5,True
36,164,184,47,True
37,799,359,33,False
38,977,176,18,False
39,360,225,10,True
40,341,121,45,True
41,205,162,17,False
42,179,274,27,True
43,50,267,17,False
44,717,114,17,True
45,101,174,7,True
46,503,342,58,False
47,384,282,28,False
48,347,318,9,True
49,136,289,43,False
50,627,48,55,True
51,579,44,44,True
52,99,367,40,False
53,382,100,46,False
54,423,280,14,True
55,569,67,47,False
56,712,20,53,False
57,640,70,49,True
58,571,54,25,True
59,18,171,50,False
60,20,80,6,False
61,112,158,24,True
62,690,297,47,False
63,487,105,9,False
64,467,228,60,False
65,842,156,28,False
66,357,121,30,True
67,656,150,33,True
68,312,316,18,True
69,764,99,10,False
70,276,74,58,False
71,503,145,28,False
72,937,313,52,True
73,57,376,52,True
74,215,71,50,True
75,448,183,42,False
76,481,271,26,True
77,164,386,23,True
78,907,177,56,False
79,748,178,18,False
80,409,220,21,False
81,485,366,56,False
82,797,363,29,False
83,578,317,20,True
84,583,287,20,True
85,893,354,48,False
86,173,62,6,True
87,736,106,55,False
88,91,219,45,True
89,618,49,59,True
90,331,203,29,False
91,955,316,56,True
92,650,150,58,True
93,563,86,58,False
94,383,142,38,False
95,912,13,28,False
96,756,3,8,False
97,662,81,43,False
98,280,231,27,True
99,638,332,35,False
100,468,135,10,False
101,885,329,22,True
102,558,52,38,False
103,970,349,35,False
104,958,151,46,False
105,87,6,14,False
106,170,27,17,False
107,507,359,16,False
108,533,216,59,False
109,967,385,49,True
110,458,396,28,False
111,721,138,16,False
112,404,75,15,True
113,70,335,8,False
114,914,219,21,False
115,832,250,41,False
116,634,349,19,False
117,329,346,16,False
118,893,274,13,True
119,486,335,34,False
120,110,266,53,True
121,770,116,38,False
122,450,307,49,False
123,308,118,15,False
124,11,29,50,False
125,142,225,31,False
126,313,6,34,True
127,398,203,37,False
128,321,181,10,False
129,3,237,60,False
130,734,174,47,False
131,797,315,45,True
132,383,345,6,False
133,455,239,41,False
134,131,34,11,True
135,694,306,25,True
136,63,230,48,True
137,570,396,17,False
138,906,284,12,True
139,595,84,17,False
140,226,313,7,False
141,691,197,24,True
142,593,174,54,True
143,62,255,14,True
144,554,202,49,True
145,729,101,59,False
146,356,165,41,False
147,745,258,44,False
148,565,170,29,False
149,915,209,5,True
150,58,134,53,False
151,660,219,59,False
152,40,215,46,False
153,539,315,32,True
154,933,357,28,True
155,64,155,55,True
156,957,155,19,True
157,787,73,30,False
158,260,137,19,True
